date,utcyymm,usvalue,growthvalue,presidents
1960,1960-01,12654.0,,Dwight D. Eisenhower
1961,1961-01,12885.0,1.8090473379635759,
1962,1962-01,13307.0,3.222636845727702,
1963,1963-01,13611.0,2.2588076788331177,
1964,1964-01,14377.0,5.475141809051895,Lyndon B. Johnson - 1st term
1965,1965-01,15080.0,4.7739655139354475,
1966,1966-01,15702.0,4.041873019625384,
1967,1967-01,16213.0,3.2025296791868203,
1968,1968-01,16782.0,3.4493493879945665,Lyndon B. Johnson - 2nd term
1969,1969-01,17179.0,2.3380824196430803,
1970,1970-01,17767.0,3.365509640946055,
1971,1971-01,18357.0,3.2668169094744175,
1972,1972-01,19034.0,3.6215880501638598,Richard Nixon
1973,1973-01,20024.0,5.070470047932144,
1974,1974-01,19622.0,-2.0280168388274076,
1975,1975-01,19910.0,1.4570732334905891,
1976,1976-01,20347.0,2.171136279766082,Gerald Ford
1977,1977-01,20778.0,2.0961253774574127,
1978,1978-01,21498.0,3.406517290253182,
1979,1979-01,21676.0,0.8245750152996065,
1980,1980-01,21580.0,-0.4438697873879166,Jimmy Carter
1981,1981-01,21887.0,1.4125893431959529,
1982,1982-01,22157.0,1.2260620391190797,
1983,1983-01,22714.0,2.4828000816315523,
1984,1984-01,24061.0,5.761079797313801,Ronald Reagan - 1st term
1985,1985-01,24566.0,2.0771100674310046,
1986,1986-01,25269.0,2.8214974884433626,
1987,1987-01,25597.0,1.289680911718884,
1988,1988-01,26558.0,3.685586344961052,Ronald Reagan - 2nd term
1989,1989-01,27080.0,1.9464427475938513,
1990,1990-01,27304.0,0.823776356033163,
1991,1991-01,27137.0,-0.6135101258815757,
1992,1992-01,27896.0,2.7585199027759826,George H.W. Bush
1993,1993-01,27991.0,0.3399720561189766,
1994,1994-01,28410.0,1.4858165931556853,
1995,1995-01,29011.0,2.0933872545222383,
1996,1996-01,29585.0,1.9592407717338494,Bill Clinton - 1st term
1997,1997-01,30303.0,2.397924138649947,
1998,1998-01,31712.0,4.544844063242063,
1999,1999-01,32410.0,2.1771859005878427,
2000,2000-01,33644.0,3.736771694673481,Bill Clinton - 2nd term
2001,2001-01,34216.0,1.685863682441661,
2002,2002-01,34894.0,1.9621523733102448,
2003,2003-01,35473.0,1.6456949068316042,
2004,2004-01,36324.0,2.3706836101555786,George W. Bush - 1st term
2005,2005-01,36525.0,0.5518277809181177,
2006,2006-01,37570.0,2.820890194911427,
2007,2007-01,38094.0,1.3850929830490422,
2008,2008-01,38189.0,0.24907266130794323,George W. Bush - 2nd term
2009,2009-01,37815.0,-0.9841666721454456,
2010,2010-01,38282.0,1.2273962515925168,
2011,2011-01,38769.0,1.264114638724593,
2012,2012-01,39731.0,2.4510781195390554,Barack Obama - 1st term
2013,2013-01,38947.0,-1.9929991878979951,
2014,2014-01,40117.0,2.9598437097339105,
2015,2015-01,41383.0,3.1069983856259658,
2016,2016-01,41822.0,1.0552348383434496,Barack Obama - 2nd term
2017,2017-01,42669.0,2.005014439159266,
2018,2018-01,43826.0,2.6754587317011116,
2019,2019-01,45105.0,2.876585653539036,
2020,2020-01,47729.0,5.654607450598215,Donald Trump
2021,2021-01,48534.0,1.6725403649286315,
2022,2022-01,45345.0,-6.796466636433945,
2023,2023-01,,,
